,UNIQUEID,DRUG,SOURCE,METHOD_3,PHENOTYPE,METHOD_MIC
4765,site.10.subj.XG00800652.lab.XG00800652.iso.1,BDQ,NICD,MGIT960,R,
4766,site.10.subj.YA00012365.lab.YA00012365.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.03
4767,site.10.subj.YA00100069.lab.YA00100069.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
4768,site.10.subj.YA00030709.lab.YA00030709.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.12
4769,site.10.subj.YA00080309.lab.YA00080309.iso.1,BDQ,NICD,MGIT960,S,
4770,site.10.subj.YA00070636.lab.YA00070636.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.03
4771,site.10.subj.JE02845850.lab.JE02845850.iso.1,BDQ,NICD,MGIT960,R,
4772,site.10.subj.YA00097474.lab.YA00097474.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.12
4773,site.10.subj.XD03411332.lab.XD03411332.iso.1,BDQ,NICD,MGIT960,R,
4774,site.10.subj.YA00038760.lab.YA00038760.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.06
4775,site.10.subj.BC01809516.lab.BC01809516.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.12
4776,site.10.subj.BC01675744.lab.BC01675744.iso.1,BDQ,NICD,MGIT960,R,
4777,site.10.subj.YA00030663.lab.YA00030663.iso.1,BDQ,NICD,MGIT960,S,
4778,site.10.subj.YA00052750.lab.YA00052750.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.06
4779,site.10.subj.LA00633352.lab.LA00633352.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.12
4780,site.10.subj.YA00058766.lab.YA00058766.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.03
4781,site.10.subj.TD02425618.lab.TD02425618.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
4782,site.10.subj.YA00127808.lab.YA00127808.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.25
4783,site.10.subj.YA00113385.lab.YA00113385.iso.1,BDQ,NICD,MGIT960,R,
4784,site.10.subj.YA00083411.lab.YA00083411.iso.1,BDQ,NICD,MGIT960,S,
4785,site.10.subj.TD02587260.lab.TD02587260.iso.1,BDQ,NICD,MGIT960,S,
4786,site.10.subj.YA00025175.lab.YA00025175.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.06
4787,site.10.subj.PK00577696.lab.PK00577696.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.03
4788,site.10.subj.BH02618111.lab.BH02618111.iso.1,BDQ,NICD,MGIT960,R,
4789,site.10.subj.YA00093428.lab.YA00093428.iso.1,BDQ,NICD,MGIT960,S,
4790,site.10.subj.XK00512686.lab.XK00512686.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
4791,site.10.subj.YA00048272.lab.YA00048272.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.03
4792,site.10.subj.YA00154197.lab.YA00154197.iso.1,BDQ,NICD,MGIT960,R,
4793,site.10.subj.YA00102495.lab.YA00102495.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.06
4794,site.10.subj.YA00010403.lab.YA00010403.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.03
4795,site.10.subj.IE00643025.lab.IE00643025.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
4796,site.10.subj.YA00064270.lab.YA00064270.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
4797,site.10.subj.YA00056315.lab.YA00056315.iso.1,BDQ,NICD,MGIT960,R,
4798,site.10.subj.BH02607653.lab.BH02607653.iso.1,BDQ,NICD,MGIT960,R,
4799,site.10.subj.LC00923488.lab.LC00923488.iso.1,BDQ,NICD,MGIT960,R,
4800,site.10.subj.YA00022119.lab.YA00022119.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
4801,site.10.subj.XD01969416.lab.XD01969416.iso.1,BDQ,NICD,MGIT960,R,
4802,site.10.subj.YA00081821.lab.YA00081821.iso.1,BDQ,NICD,MGIT960,S,
4803,site.10.subj.YA00063004.lab.YA00063004.iso.1,BDQ,NICD,MGIT960,S,
4804,site.10.subj.TRL0120488.lab.TRL0120488.iso.1,BDQ,NICD,MGIT960,R,
4805,site.10.subj.YA00048280.lab.YA00048280.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.06
4806,site.10.subj.YA00089269.lab.YA00089269.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.12
4807,site.10.subj.UH01746590.lab.UH01746590.iso.1,BDQ,NICD,MGIT960,R,
4808,site.10.subj.YA00104074.lab.YA00104074.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.06
4809,site.10.subj.UH01640370.lab.UH01640370.iso.1,BDQ,NICD,MGIT960,R,
4810,site.10.subj.YA00106922.lab.YA00106922.iso.1,BDQ,CRyPTIC,UKMYC6,S,<=0.008
4811,site.10.subj.YA00144829.lab.YA00144829.iso.1,BDQ,NICD,MGIT960,S,
4812,site.10.subj.XK00733590.lab.XK00733590.iso.1,BDQ,NICD,MGIT960,R,
4813,site.10.subj.YA00019318.lab.YA00019318.iso.1,BDQ,NICD,MGIT960,R,
4814,site.10.subj.YA00033563.lab.YA00033563.iso.1,BDQ,NICD,MGIT960,S,
4815,site.10.subj.KD01504821.lab.KD01504821.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.06
4816,site.10.subj.YA00128274.lab.YA00128274.iso.1,BDQ,CRyPTIC,UKMYC6,S,<=0.008
4817,site.10.subj.YA00073480.lab.YA00073480.iso.1,BDQ,NICD,MGIT960,S,
4818,site.10.subj.SN01264179.lab.SN01264179.iso.1,BDQ,NICD,MGIT960,R,
4819,site.10.subj.YA00102512.lab.YA00102512.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.06
4820,site.10.subj.LA00659381.lab.LA00659381.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.06
4821,site.10.subj.SN01440101.lab.SN01440101.iso.1,BDQ,NICD,MGIT960,R,
4822,site.10.subj.UH00128887.lab.UH00128887.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
4823,site.10.subj.YA00089947.lab.YA00089947.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.06
4824,site.10.subj.YA00084820.lab.YA00084820.iso.1,BDQ,NICD,MGIT960,S,
4825,site.10.subj.YA00125763.lab.YA00125763.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
4826,site.10.subj.YA00036410.lab.YA00036410.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.06
4827,site.10.subj.YA00020533.lab.YA00020533.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
4828,site.10.subj.YA00105997.lab.YA00105997.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
4829,site.10.subj.YA00036394.lab.YA00036394.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.25
4830,site.10.subj.YA00129032.lab.YA00129032.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
4831,site.10.subj.YA00100982.lab.YA00100982.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.12
4832,site.10.subj.YA00127170.lab.YA00127170.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
4833,site.10.subj.YA00099899.lab.YA00099899.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.06
4834,site.10.subj.YA00093789.lab.YA00093789.iso.1,BDQ,NICD,MGIT960,S,
4835,site.10.subj.YA00011204.lab.YA00011204.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.12
4836,site.10.subj.YA00032957.lab.YA00032957.iso.1,BDQ,NICD,MGIT960,S,
4837,site.10.subj.EC03861409.lab.EC03861409.iso.1,BDQ,NICD,MGIT960,R,
4838,site.10.subj.TD03125581.lab.TD03125581.iso.1,BDQ,NICD,MGIT960,R,
4839,site.10.subj.TRL0052037.lab.TRL0052037.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
4840,site.10.subj.XD02314331.lab.XD02314331.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.12
4841,site.10.subj.XD02065385.lab.XD02065385.iso.1,BDQ,NICD,MGIT960,R,
4842,site.10.subj.TD03358675.lab.TD03358675.iso.1,BDQ,NICD,MGIT960,R,
4843,site.10.subj.BC02087256.lab.BC02087256.iso.1,BDQ,NICD,MGIT960,R,
4844,site.10.subj.YA00100107.lab.YA00100107.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.06
4845,site.10.subj.YA00116205.lab.YA00116205.iso.1,BDQ,NICD,MGIT960,R,
4846,site.10.subj.TRL0120544.lab.TRL0120544.iso.1,BDQ,NICD,MGIT960,R,
4847,site.10.subj.YA00085977.lab.YA00085977.iso.1,BDQ,NICD,MGIT960,S,
4848,site.10.subj.TC00999669.lab.TC00999669.iso.1,BDQ,NICD,MGIT960,R,
4849,site.10.subj.XD04001138.lab.XD04001138.iso.1,BDQ,NICD,MGIT960,R,
4850,site.10.subj.PK00489669.lab.PK00489669.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.12
4851,site.10.subj.YA00102509.lab.YA00102509.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.06
4852,site.10.subj.YA00028565.lab.YA00028565.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
4853,site.10.subj.YA00071174.lab.YA00071174.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.06
4854,site.10.subj.YA00100112.lab.YA00100112.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.06
4855,site.10.subj.YA00038884.lab.YA00038884.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.06
4856,site.10.subj.UH01479149.lab.UH01479149.iso.1,BDQ,NICD,MGIT960,R,
4857,site.10.subj.PK02875220.lab.PK02875220.iso.1,BDQ,NICD,MGIT960,R,
4858,site.10.subj.YA00105966.lab.YA00105966.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
4859,site.10.subj.YA00027194.lab.YA00027194.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.03
4860,site.10.subj.YA00099987.lab.YA00099987.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
4861,site.10.subj.YA00020912.lab.YA00020912.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.06
4862,site.10.subj.UH01309735.lab.UH01309735.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.25
4863,site.10.subj.TD03326262.lab.TD03326262.iso.1,BDQ,NICD,MGIT960,R,
4864,site.10.subj.YA00040356.lab.YA00040356.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.25
4865,site.10.subj.YA00105797.lab.YA00105797.iso.1,BDQ,NICD,MGIT960,R,
4866,site.10.subj.YA00071664.lab.YA00071664.iso.1,BDQ,NICD,MGIT960,R,
4867,site.10.subj.YA00127811.lab.YA00127811.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
4868,site.10.subj.YA00142130.lab.YA00142130.iso.1,BDQ,NICD,MGIT960,S,
4869,site.10.subj.BE04035338.lab.BE04035338.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.12
4870,site.10.subj.LA00836720.lab.LA00836720.iso.1,BDQ,NICD,MGIT960,R,
4871,site.10.subj.UH01339747.lab.UH01339747.iso.1,BDQ,NICD,MGIT960,R,
4872,site.10.subj.XD01911670.lab.XD01911670.iso.1,BDQ,NICD,MGIT960,R,
4873,site.10.subj.TD02495757.lab.TD02495757.iso.1,BDQ,NICD,MGIT960,R,
4874,site.10.subj.XD02022311.lab.XD02022311.iso.1,BDQ,NICD,MGIT960,R,
4875,site.10.subj.YA00099970.lab.YA00099970.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.12
4876,site.10.subj.YA00104651.lab.YA00104651.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.06
4877,site.10.subj.YA00074694.lab.YA00074694.iso.1,BDQ,NICD,MGIT960,S,
4878,site.10.subj.YA00113110.lab.YA00113110.iso.1,BDQ,NICD,MGIT960,R,
4879,site.10.subj.YA00003301.lab.YA00003301.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.03
4880,site.10.subj.YA00025177.lab.YA00025177.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.03
4881,site.10.subj.LA00694310.lab.LA00694310.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
4882,site.10.subj.UH01041411.lab.UH01041411.iso.1,BDQ,NICD,MGIT960,R,
4883,site.10.subj.YA00106068.lab.YA00106068.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
4884,site.10.subj.YA00023537.lab.YA00023537.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.03
4885,site.10.subj.YA00135996.lab.YA00135996.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
4886,site.10.subj.YA00165980.lab.YA00165980.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
4887,site.10.subj.UH00116467.lab.UH00116467.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
4888,site.10.subj.UH01079091.lab.UH01079091.iso.1,BDQ,NICD,MGIT960,R,
4889,site.10.subj.YA00022345.lab.YA00022345.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
4890,site.10.subj.YA00105402.lab.YA00105402.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.03
4891,site.10.subj.YA00075990.lab.YA00075990.iso.1,BDQ,NICD,MGIT960,S,
4892,site.10.subj.YA00030658.lab.YA00030658.iso.1,BDQ,NICD,MGIT960,S,
4893,site.10.subj.YA00161042.lab.YA00161042.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
4894,site.10.subj.YA00079492.lab.YA00079492.iso.1,BDQ,NICD,MGIT960,S,
4895,site.10.subj.YA00081789.lab.YA00081789.iso.1,BDQ,NICD,MGIT960,S,
4896,site.10.subj.YA00014780.lab.YA00014780.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.06
4897,site.10.subj.YA00008417.lab.YA00008417.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.06
4898,site.10.subj.YA00067884.lab.YA00067884.iso.1,BDQ,NICD,MGIT960,S,
4899,site.10.subj.YA00128263.lab.YA00128263.iso.1,BDQ,CRyPTIC,UKMYC6,S,<=0.008
4900,site.10.subj.YA00022346.lab.YA00022346.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.06
4901,site.10.subj.YA00106070.lab.YA00106070.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
4902,site.10.subj.CJ00700491.lab.CJ00700491.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
4903,site.10.subj.YA00029685.lab.YA00029685.iso.1,BDQ,NICD,MGIT960,S,
4904,site.10.subj.OS00495921.lab.OS00495921.iso.1,BDQ,NICD,MGIT960,R,
4905,site.10.subj.CE05211917.lab.CE05211917.iso.1,BDQ,NICD,MGIT960,R,
4906,site.10.subj.YA00023159.lab.YA00023159.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
4907,site.10.subj.UG00158667.lab.UG00158667.iso.1,BDQ,NICD,MGIT960,S,0.5
4908,site.10.subj.YA00075999.lab.YA00075999.iso.1,BDQ,NICD,MGIT960,R,
4909,site.10.subj.EK00585457.lab.EK00585457.iso.1,BDQ,NICD,MGIT960,R,
4910,site.10.subj.YA00132932.lab.YA00132932.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
4911,site.10.subj.YA00038965.lab.YA00038965.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.06
4912,site.10.subj.XN00979598.lab.XN00979598.iso.1,BDQ,NICD,MGIT960,R,
4913,site.10.subj.YA00128349.lab.YA00128349.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
4914,site.10.subj.YA00077764.lab.YA00077764.iso.1,BDQ,NICD,MGIT960,S,
4915,site.10.subj.YA00009386.lab.YA00009386.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.06
4916,site.10.subj.YA00166038.lab.YA00166038.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
4917,site.10.subj.TC00977051.lab.TC00977051.iso.1,BDQ,NICD,MGIT960,R,
4918,site.10.subj.YA00062397.lab.YA00062397.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.06
4919,site.10.subj.YA00195440.lab.YA00195440.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.12
4920,site.10.subj.YA00104265.lab.YA00104265.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.06
4921,site.10.subj.XG00553870.lab.XG00553870.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.25
4922,site.10.subj.WG00267926.lab.WG00267926.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
4923,site.10.subj.YA00044782.lab.YA00044782.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.03
4924,site.10.subj.YA00079507.lab.YA00079507.iso.1,BDQ,NICD,MGIT960,S,
4925,site.10.subj.PS01268079.lab.PS01268079.iso.1,BDQ,NICD,MGIT960,R,
4926,site.10.subj.YA00028169.lab.YA00028169.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
4927,site.10.subj.XD01874132.lab.XD01874132.iso.1,BDQ,NICD,MGIT960,R,
4928,site.10.subj.DB00767769.lab.DB00767769.iso.1,BDQ,NICD,MGIT960,R,
4929,site.10.subj.YA00031952.lab.YA00031952.iso.1,BDQ,NICD,MGIT960,S,
4930,site.10.subj.YA00073087.lab.YA00073087.iso.1,BDQ,NICD,MGIT960,S,
4931,site.10.subj.YA00073610.lab.YA00073610.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.06
4932,site.10.subj.YA00089944.lab.YA00089944.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.06
4933,site.10.subj.YA00036014.lab.YA00036014.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.25
4934,site.10.subj.YA00070643.lab.YA00070643.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.25
4935,site.10.subj.YA00126229.lab.YA00126229.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
4936,site.10.subj.YA00077751.lab.YA00077751.iso.1,BDQ,NICD,MGIT960,S,
4937,site.10.subj.YA00023169.lab.YA00023169.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.03
4938,site.10.subj.YA00029577.lab.YA00029577.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.12
4939,site.10.subj.YA00065087.lab.YA00065087.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.06
4940,site.10.subj.YA00075984.lab.YA00075984.iso.1,BDQ,NICD,MGIT960,S,
4941,site.10.subj.YA00035967.lab.YA00035967.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.03
4942,site.10.subj.YA00020414.lab.YA00020414.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
4943,site.10.subj.YA00096333.lab.YA00096333.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.03
4944,site.10.subj.IL02724864.lab.IL02724864.iso.1,BDQ,NICD,MGIT960,R,
4945,site.10.subj.TD03530721.lab.TD03530721.iso.1,BDQ,NICD,MGIT960,S,
4946,site.10.subj.BC01625300.lab.BC01625300.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
4947,site.10.subj.PS01153884.lab.PS01153884.iso.1,BDQ,NICD,MGIT960,R,
4948,site.10.subj.YA00033905.lab.YA00033905.iso.1,BDQ,NICD,MGIT960,S,
4949,site.10.subj.YA00022079.lab.YA00022079.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.03
4950,site.10.subj.YA00043551.lab.YA00043551.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.03
4951,site.10.subj.YA00096391.lab.YA00096391.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.06
4952,site.10.subj.YA00143070.lab.YA00143070.iso.1,BDQ,NICD,MGIT960,R,
4953,site.10.subj.YA00144279.lab.YA00144279.iso.1,BDQ,NICD,MGIT960,S,
4954,site.10.subj.YA00089950.lab.YA00089950.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.06
4955,site.10.subj.YA00125783.lab.YA00125783.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.12
4956,site.10.subj.RJ00237580.lab.RJ00237580.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
4957,site.10.subj.YA00145535.lab.YA00145535.iso.1,BDQ,NICD,MGIT960,R,
4958,site.10.subj.YA00101700.lab.YA00101700.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.06
4959,site.10.subj.TD03132655.lab.TD03132655.iso.1,BDQ,NICD,MGIT960,R,
4960,site.10.subj.XD03806694.lab.XD03806694.iso.1,BDQ,NICD,MGIT960,R,
4961,site.10.subj.TD02660918.lab.TD02660918.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.12
4962,site.10.subj.YA00074391.lab.YA00074391.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
4963,site.10.subj.YA00132444.lab.YA00132444.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
4964,site.10.subj.VB00017704.lab.VB00017704.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
4965,site.10.subj.YA00038899.lab.YA00038899.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.06
4966,site.10.subj.BC01998433.lab.BC01998433.iso.1,BDQ,NICD,MGIT960,R,
4967,site.10.subj.BC01832123.lab.BC01832123.iso.1,BDQ,NICD,MGIT960,R,
4968,site.10.subj.YA00027786.lab.YA00027786.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.06
4969,site.10.subj.YA00027197.lab.YA00027197.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
4970,site.10.subj.BC01604157.lab.BC01604157.iso.1,BDQ,NICD,MGIT960,R,
4971,site.10.subj.YA00035200.lab.YA00035200.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
4972,site.10.subj.YA00035590.lab.YA00035590.iso.1,BDQ,NICD,MGIT960,S,
4973,site.10.subj.UH01661236.lab.UH01661236.iso.1,BDQ,NICD,MGIT960,R,
4974,site.10.subj.VI00045636.lab.VI00045636.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.25
4975,site.10.subj.YA00126230.lab.YA00126230.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
4976,site.10.subj.OS00476930.lab.OS00476930.iso.1,BDQ,NICD,MGIT960,R,
4977,site.10.subj.PE00188217.lab.PE00188217.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.03
4978,site.10.subj.YA00162473.lab.YA00162473.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.12
4979,site.10.subj.YA00024195.lab.YA00024195.iso.1,BDQ,NICD,MGIT960,S,
4980,site.10.subj.YA00100071.lab.YA00100071.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
4981,site.10.subj.YA00104259.lab.YA00104259.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.03
4982,site.10.subj.IE00879462.lab.IE00879462.iso.1,BDQ,NICD,MGIT960,R,
4983,site.10.subj.YA00126812.lab.YA00126812.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
4984,site.10.subj.YA00033044.lab.YA00033044.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.03
4985,site.10.subj.YA00089650.lab.YA00089650.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.06
4986,site.10.subj.BF03050241.lab.BF03050241.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.015
4987,site.10.subj.YA00037950.lab.YA00037950.iso.1,BDQ,NICD,MGIT960,S,
4988,site.10.subj.TD03322934.lab.TD03322934.iso.1,BDQ,NICD,MGIT960,R,
4989,site.10.subj.LD03384172.lab.LD03384172.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.25
4990,site.10.subj.YA00100989.lab.YA00100989.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.03
4991,site.10.subj.YA00059513.lab.YA00059513.iso.1,BDQ,NICD,MGIT960,R,
4992,site.10.subj.YA00077779.lab.YA00077779.iso.1,BDQ,NICD,MGIT960,S,
4993,site.10.subj.UH01302825.lab.UH01302825.iso.1,BDQ,NICD,MGIT960,S,
4994,site.10.subj.YA00068786.lab.YA00068786.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.03
4995,site.10.subj.XD00862120.lab.XD00862120.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.25
4996,site.10.subj.YA00122795.lab.YA00122795.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
4997,site.10.subj.YA00136663.lab.YA00136663.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
4998,site.10.subj.YA00116731.lab.YA00116731.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.03
4999,site.10.subj.WC00183193.lab.WC00183193.iso.1,BDQ,NICD,MGIT960,R,
5000,site.10.subj.YA00025751.lab.YA00025751.iso.1,BDQ,NICD,MGIT960,S,
5001,site.10.subj.XN00626153.lab.XN00626153.iso.1,BDQ,NICD,MGIT960,S,
5002,site.10.subj.YA00067927.lab.YA00067927.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.06
5003,site.10.subj.YA00100084.lab.YA00100084.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
5004,site.10.subj.YA00021500.lab.YA00021500.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.06
5005,site.10.subj.YA00084813.lab.YA00084813.iso.1,BDQ,NICD,MGIT960,S,
5006,site.10.subj.YA00023149.lab.YA00023149.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
5007,site.10.subj.YA00067853.lab.YA00067853.iso.1,BDQ,NICD,MGIT960,S,
5008,site.10.subj.YA00051700.lab.YA00051700.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.06
5009,site.10.subj.YA00120871.lab.YA00120871.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
5010,site.10.subj.BC01202171.lab.BC01202171.iso.1,BDQ,NICD,MGIT960,S,
5011,site.10.subj.YA00100097.lab.YA00100097.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.06
5012,site.10.subj.JE02382613.lab.JE02382613.iso.1,BDQ,NICD,MGIT960,R,
5013,site.10.subj.PE00181118.lab.PE00181118.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.03
5014,site.10.subj.YA00069840.lab.YA00069840.iso.1,BDQ,NICD,MGIT960,S,
5015,site.10.subj.JE02791046.lab.JE02791046.iso.1,BDQ,NICD,MGIT960,R,
5016,site.10.subj.YA00023342.lab.YA00023342.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
5017,site.10.subj.YA00071695.lab.YA00071695.iso.1,BDQ,NICD,MGIT960,S,
5018,site.10.subj.YA00082763.lab.YA00082763.iso.1,BDQ,NICD,MGIT960,S,
5019,site.10.subj.YA00106953.lab.YA00106953.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
5020,site.10.subj.IE00802261.lab.IE00802261.iso.1,BDQ,NICD,MGIT960,R,
5021,site.10.subj.PH00714915.lab.PH00714915.iso.1,BDQ,NICD,MGIT960,R,
5022,site.10.subj.YA00100101.lab.YA00100101.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.03
5023,site.10.subj.YA00050837.lab.YA00050837.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.03
5024,site.10.subj.YA00058783.lab.YA00058783.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.06
5025,site.10.subj.YA00062415.lab.YA00062415.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.06
5026,site.10.subj.YA00134726.lab.YA00134726.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
5027,site.10.subj.BC02110348.lab.BC02110348.iso.1,BDQ,NICD,MGIT960,R,
5028,site.10.subj.YA00053908.lab.YA00053908.iso.1,BDQ,NICD,MGIT960,R,
